SourceSqlInstance,DestinationSqlInstance,BackupNetworkPath,BackupLocalPath,CopyDestinationFolder
SQLR2\I10,SQLMBAGSBMSPR06\I10,\\SQLR2\Databases\I10,G:\Backup\Databases\I10,G:\Backup\Databases\I10
SQLR2\I11,SQLMBAGSBMSPR06\I11,\\SQLR2\Databases\I11,G:\Backup\Databases\I11,G:\Backup\Databases\I11
SQLR2\I14,SQLMBAGSBMSPR06\I12,\\SQLR2\Databases\I14,G:\Backup\Databases\I14,G:\Backup\Databases\I12
SQLR2\I16,SQLMBAGSBMSPR06\I13,\\SQLR2\Databases\I16,G:\Backup\Databases\I16,G:\Backup\Databases\I13
SQLR2\I18,SQLMBAGSBMSPR06\I14,\\SQLR2\Databases\I18,G:\Backup\Databases\I18,G:\Backup\Databases\I14
SQLR2\I19,SQLMBAGSBMSPR06\I15,\\SQLR2\Databases\I19,G:\Backup\Databases\I19,G:\Backup\Databases\I15
SQLR2\I20,SQLMBAGSBMSPR06\I16,\\SQLR2\Databases\I20,G:\Backup\Databases\I20,G:\Backup\Databases\I16
SQLR2\I22,SQLMBAGSBMSPR06\I17,\\SQLR2\Databases\I22,G:\Backup\Databases\I22,G:\Backup\Databases\I17
SQLR2\I9,SQLMBAGSBMSPR06\I18,\\SQLR2\Databases\I9,G:\Backup\Databases\I9,G:\Backup\Databases\I18
SQLO2\I12,SQLMBAGSBMSPR06\I2,\\SQLO2\Databases\I12,G:\Backup\Databases\I12,G:\Backup\Databases\I2
SQLO2\I13,SQLMBAGSBMSPR06\I3,\\SQLO2\Databases\I13,G:\Backup\Databases\I13,G:\Backup\Databases\I3
SQLO2\I16,SQLMBAGSBMSPR06\I4,\\SQLO2\Databases\I16,G:\Backup\Databases\I16,G:\Backup\Databases\I4
SQLO2\I18,SQLMBAGSBMSPR06\I5,\\SQLO2\Databases\I18,G:\Backup\Databases\I18,G:\Backup\Databases\I5
SQLO2\I19,SQLMBAGSBMSPR06\I6,\\SQLO2\Databases\I19,G:\Backup\Databases\I19,G:\Backup\Databases\I6
SQLO2\I21,SQLMBAGSBMSPR06\I7,\\SQLO2\Databases\I21,G:\Backup\Databases\I21,G:\Backup\Databases\I7
SQLO2\I23,SQLMBAGSBMSPR06\I8,\\SQLO2\Databases\I23,G:\Backup\Databases\I23,G:\Backup\Databases\I8
SQLO2\I4,SQLMBAGSBMSPR06\I9,\\SQLO2\Databases\I4,G:\Backup\Databases\I4,G:\Backup\Databases\I9
SQLL2\I13,SQLMBAGSBMSPR07\I1,\\SQLL2\Databases\I13,G:\Backup\Databases\I13,G:\Backup\Databases\I1
SQLY4\I12,SQLMBAGSBMSPR07\I10,\\SQLY4\Databases\I12,G:\Backup\Databases\I12,G:\Backup\Databases\I10
SQLY4\I13,SQLMBAGSBMSPR07\I11,\\SQLY4\Databases\I13,G:\Backup\Databases\I13,G:\Backup\Databases\I11
SQLY4\I15,SQLMBAGSBMSPR07\I12,\\SQLY4\Databases\I15,G:\Backup\Databases\I15,G:\Backup\Databases\I12
SQLY4\I16,SQLMBAGSBMSPR07\I13,\\SQLY4\Databases\I16,G:\Backup\Databases\I16,G:\Backup\Databases\I13
SQLY4\I18,SQLMBAGSBMSPR07\I14,\\SQLY4\Databases\I18,G:\Backup\Databases\I18,G:\Backup\Databases\I14
SQLY4\I20,SQLMBAGSBMSPR07\I15,\\SQLY4\Databases\I20,G:\Backup\Databases\I20,G:\Backup\Databases\I15
SQLY4\I23,SQLMBAGSBMSPR07\I16,\\SQLY4\Databases\I23,G:\Backup\Databases\I23,G:\Backup\Databases\I16
SQLY4\I3,SQLMBAGSBMSPR07\I17,\\SQLY4\Databases\I3,G:\Backup\Databases\I3,G:\Backup\Databases\I17
SQLY4\I6,SQLMBAGSBMSPR07\I18,\\SQLY4\Databases\I6,G:\Backup\Databases\I6,G:\Backup\Databases\I18
SQLY4\I8,SQLMBAGSBMSPR07\I19,\\SQLY4\Databases\I8,G:\Backup\Databases\I8,G:\Backup\Databases\I19
SQLL2\I16,SQLMBAGSBMSPR07\I2,\\SQLL2\Databases\I16,G:\Backup\Databases\I16,G:\Backup\Databases\I2
SQLY4\I9,SQLMBAGSBMSPR07\I20,\\SQLY4\Databases\I9,G:\Backup\Databases\I9,G:\Backup\Databases\I20
SQLL2\I17,SQLMBAGSBMSPR07\I3,\\SQLL2\Databases\I17,G:\Backup\Databases\I17,G:\Backup\Databases\I3
SQLL2\I19,SQLMBAGSBMSPR07\I4,\\SQLL2\Databases\I19,G:\Backup\Databases\I19,G:\Backup\Databases\I4
SQLL2\I21,SQLMBAGSBMSPR07\I5,\\SQLL2\Databases\I21,G:\Backup\Databases\I21,G:\Backup\Databases\I5
SQLL2\I4,SQLMBAGSBMSPR07\I6,\\SQLL2\Databases\I4,G:\Backup\Databases\I4,G:\Backup\Databases\I6
SQLL2\I5,SQLMBAGSBMSPR07\I7,\\SQLL2\Databases\I5,G:\Backup\Databases\I5,G:\Backup\Databases\I7
SQLY4\I1,SQLMBAGSBMSPR07\I8,\\SQLY4\Databases\I1,G:\Backup\Databases\I1,G:\Backup\Databases\I8
SQLY4\I10,SQLMBAGSBMSPR07\I9,\\SQLY4\Databases\I10,G:\Backup\Databases\I10,G:\Backup\Databases\I9
